"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN","TOBS","WDMV","WT01","WT03","WT11"
"USC00298535","LAS CRUCES, NM US","2010-01-01","0.00","0","52","26","27",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-02","0.00","0","53","25","32",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-03","0.00","0","57","28","32",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-04","0.00","0","57","26","32",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-05","0.00","0","56","29","31",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-06","0.00","0","58","26","26",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-07","0.00","0","62","25","35",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-08","0.00","0","44","29","30",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-09","0.00","0","41","19","22",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-10","0.00","0","49","19","22",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-11","0.00","0","54","21","31",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-12","0.00","0","56","24","24",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-13","0.00","0","60","23","24",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-14","0.00","0","55","24","31",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-15","0.00","0","61","30","34",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-16","0.00","0","59","26","26",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-17","0.00","0","60","26","31",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-18","0.00","0","62","31","35",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-19","0.00","0","62","35","38",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-20","0.00","0","63","38","52",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-21","0.00","0","55","37","39",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-22","0.00","0","64","37","55",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-23","0.58","0","55","37","39",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-24","0.00","0","47","30","30",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-25","0.00","0","50","28","30",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-26","0.00","0","53","27","31",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-27","0.00","0","55","30","32",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-28","0.33","0","58","32","43",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-29","0.12","0","44","29","30",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-30","0.00","0","48","29","29",,,,
"USC00298535","LAS CRUCES, NM US","2010-01-31","0.00","0","53","29","35",,,,
"USC00298535","LAS CRUCES, NM US","2010-02-01","0.00","0","57","35","41","16.2",,,
"USC00298535","LAS CRUCES, NM US","2010-02-02","0.00","0","61","38","38","37.3",,,
"USC00298535","LAS CRUCES, NM US","2010-02-03","0.12","0","63","37","46","54.1",,,
"USC00298535","LAS CRUCES, NM US","2010-02-04","0.29","0","50","37","39","42.9",,,
"USC00298535","LAS CRUCES, NM US","2010-02-05","0.00","0","56","35","37","42.9",,,
"USC00298535","LAS CRUCES, NM US","2010-02-06","0.00","0","61","33","33","23.0",,,
"USC00298535","LAS CRUCES, NM US","2010-02-07","0.00","0","64","33","35","23.0",,,
"USC00298535","LAS CRUCES, NM US","2010-02-08","0.00","0","64","33","37","73.9",,,
"USC00298535","LAS CRUCES, NM US","2010-02-09","0.00","0","55","34","35","39.1",,,
"USC00298535","LAS CRUCES, NM US","2010-02-10","0.00","0","55","33","36","60.9",,,
"USC00298535","LAS CRUCES, NM US","2010-02-11","0.11","0","56","33","42","42.3",,,
"USC00298535","LAS CRUCES, NM US","2010-02-12","0.00","0","58","34","34","78.9",,,
"USC00298535","LAS CRUCES, NM US","2010-02-13","0.00","0","59","32","35","32.9",,,
"USC00298535","LAS CRUCES, NM US","2010-02-14","0.00","0","64","35","35","37.9",,,
"USC00298535","LAS CRUCES, NM US","2010-02-15","0.00","0","63","31","31","51.0",,,
"USC00298535","LAS CRUCES, NM US","2010-02-16","0.00","0","53","30","31","24.2",,,
"USC00298535","LAS CRUCES, NM US","2010-02-17","0.00","0","57","29","29","23.0",,,
"USC00298535","LAS CRUCES, NM US","2010-02-18","0.00","0","63","28","35","19.9",,,
"USC00298535","LAS CRUCES, NM US","2010-02-19","0.00","0","69","32","36","31.7",,,
"USC00298535","LAS CRUCES, NM US","2010-02-20","0.00","0","67","34","42","8.1",,,
"USC00298535","LAS CRUCES, NM US","2010-02-21","0.00","0","66","34","42","149.8",,,
"USC00298535","LAS CRUCES, NM US","2010-02-22","0.00","0","58","38","39","67.7",,,
"USC00298535","LAS CRUCES, NM US","2010-02-23","0.00","0","57","28","28","111.8",,,
"USC00298535","LAS CRUCES, NM US","2010-02-24","0.00","0","49","25","25","54.1",,,
"USC00298535","LAS CRUCES, NM US","2010-02-25","0.00","0","57","25","49","29.8",,,
"USC00298535","LAS CRUCES, NM US","2010-02-26","0.00","0","64","34","35","95.7",,,
"USC00298535","LAS CRUCES, NM US","2010-02-27","0.00","0","60","32","34","31.1",,,
"USC00298535","LAS CRUCES, NM US","2010-02-28","0.00","0","64","32","41","26.1",,,
"USC00298535","LAS CRUCES, NM US","2010-03-01","0.01","0","52","33","33","123.0",,,
"USC00298535","LAS CRUCES, NM US","2010-03-02","0.00","0","58","32","35","41.0",,,
"USC00298535","LAS CRUCES, NM US","2010-03-03","0.00","0","61","32","34","23.0",,,
"USC00298535","LAS CRUCES, NM US","2010-03-04","0.00","0","70","32","37","23.0",,,
"USC00298535","LAS CRUCES, NM US","2010-03-05","0.00","0","73","35","39","44.1",,,
"USC00298535","LAS CRUCES, NM US","2010-03-06","0.00","0","69","38","43","52.2",,,
"USC00298535","LAS CRUCES, NM US","2010-03-07","0.02","0","72","38","50","44.1",,,
"USC00298535","LAS CRUCES, NM US","2010-03-08","0.00","0","73","43","43","69.0",,,
"USC00298535","LAS CRUCES, NM US","2010-03-09","0.00","0","56","37","38","126.1",,,
"USC00298535","LAS CRUCES, NM US","2010-03-10","0.00","0","65","35","35","134.2",,,
"USC00298535","LAS CRUCES, NM US","2010-03-11","0.00","0","57","35","36","108.7",,,
"USC00298535","LAS CRUCES, NM US","2010-03-12","0.00","0","59","32","33","75.2",,,
"USC00298535","LAS CRUCES, NM US","2010-03-13","0.00","0","66","32","38","34.8",,,
"USC00298535","LAS CRUCES, NM US","2010-03-14","0.00","0","75","37","38","31.1",,,
"USC00298535","LAS CRUCES, NM US","2010-03-15","0.00","0","69","37","39","90.1",,,
"USC00298535","LAS CRUCES, NM US","2010-03-16","0.00","0","57","32","32","51.0",,,
"USC00298535","LAS CRUCES, NM US","2010-03-17","0.00","0","63","32","35","23.0",,,
"USC00298535","LAS CRUCES, NM US","2010-03-18","0.00","0","71","35","38","19.9",,,
"USC00298535","LAS CRUCES, NM US","2010-03-19","0.00","0","76","35","44","42.9",,,
"USC00298535","LAS CRUCES, NM US","2010-03-20","0.00","0","70","33","33","118.1",,,
"USC00298535","LAS CRUCES, NM US","2010-03-21","0.00","0","54","28","29","54.1",,,
"USC00298535","LAS CRUCES, NM US","2010-03-22","0.00","0","66","29","35","31.7",,,
"USC00298535","LAS CRUCES, NM US","2010-03-23","0.00","0","75","33","45","29.8",,,
"USC00298535","LAS CRUCES, NM US","2010-03-24","0.00","0","69","41","42","62.8",,,
"USC00298535","LAS CRUCES, NM US","2010-03-25","0.00","0","63","34","35","67.7",,,
"USC00298535","LAS CRUCES, NM US","2010-03-26","0.00","0","70","33","41","34.2",,,
"USC00298535","LAS CRUCES, NM US","2010-03-27","0.00","0","78","38","39","142.3",,,
"USC00298535","LAS CRUCES, NM US","2010-03-28","0.00","0","64","36","36","75.2",,,
"USC00298535","LAS CRUCES, NM US","2010-03-29","0.00","0","66","35","38","29.2",,,
"USC00298535","LAS CRUCES, NM US","2010-03-30","0.00","0","77","34","38","24.9",,,
"USC00298535","LAS CRUCES, NM US","2010-03-31","0.00","0","83","38","47","55.9",,,
"USC00298535","LAS CRUCES, NM US","2010-04-01","0.00","0","83","46","56","80.8",,,
"USC00298535","LAS CRUCES, NM US","2010-04-02","0.00","0","76","45","45","149.1",,,
"USC00298535","LAS CRUCES, NM US","2010-04-03","0.00","0","65","40","41","64.0",,,
"USC00298535","LAS CRUCES, NM US","2010-04-04","0.00","0","77","41","44","39.1",,,
"USC00298535","LAS CRUCES, NM US","2010-04-05","0.00","0","82","44","48","49.1",,,
"USC00298535","LAS CRUCES, NM US","2010-04-06","0.00","0","85","48","56","75.2",,,
"USC00298535","LAS CRUCES, NM US","2010-04-07","0.00","0","73","41","42","144.8",,,
"USC00298535","LAS CRUCES, NM US","2010-04-08","0.00","0","65","38","43","65.9",,,
"USC00298535","LAS CRUCES, NM US","2010-04-09","0.00","0","71","42","47","31.1",,,
"USC00298535","LAS CRUCES, NM US","2010-04-10","0.00","0","81","46","50","39.1",,,
"USC00298535","LAS CRUCES, NM US","2010-04-11","0.00","0","82","49","49","54.1",,,
"USC00298535","LAS CRUCES, NM US","2010-04-12","0.00","0","83","49","54","32.9",,,
"USC00298535","LAS CRUCES, NM US","2010-04-13","0.00","0","86","53","53","65.2",,,
"USC00298535","LAS CRUCES, NM US","2010-04-14","0.00","0","83","49","49","49.1",,,
"USC00298535","LAS CRUCES, NM US","2010-04-15","0.00","0","82","49","54","37.9",,,
