"STATION","NAME","DATE","DAPR","DAWM","MDPR","MDWM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV","WT01","WT03","WT06","WT11"
"USC00298535","LAS CRUCES, NM US","2000-01-01",,,,,"0.00","0.0","0","65","39","44","11.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-02",,,,,"0.00","0.0","0","65","27","28","34.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-03",,,,,"0.00","0.0","0","55","28","29","78.9",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-04",,,,,"0.00","0.0","0","47","21","24","70.2",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-05",,,,,"0.00","0.0","0","50","19","20","13.0",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-06",,,,,"0.00","0.0","0","55","20","32","19.9",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-07",,,,,"0.00","0.0","0","54","29","29","41.0",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-08",,,,,"0.00","0.0","0","58","33","30","16.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-09",,,,,"0.00","0.0","0","57","22","36","19.9",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-10",,,,,"0.00","0.0","0","65","28","32","16.2",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-11",,,,,"0.00","0.0","0","66","33","31","34.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-12",,,,,"0.00","0.0","0","69","31","32","16.2",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-13",,,,,"0.00","0.0","0","71","30","34","34.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-14",,,,,"0.00","0.0","0","70","30","34","11.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-15",,,,,"0.00","0.0","0","69","31","35","9.9",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-16",,,,,"0.00","0.0","0","71","30","40","11.2",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-17",,,,,"0.00","0.0","0","71","33","40","6.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-18",,,,,"0.00","0.0","0","74","37","37","6.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-19",,,,,"0.00","0.0","0","74","36","36","9.9",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-20",,,,,"0.00","0.0","0","77","36","38","19.3",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-21",,,,,"0.00","0.0","0","77","36","40","16.2",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-22",,,,,"0.00","0.0","0","71","34","35","37.9",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-23",,,,,"0.00","0.0","0","68","34","34","46.0",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-24",,,,,"0.00","0.0","0","68","34","41","11.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-25",,,,,"0.00","0.0","0","73","40","47","19.3",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-26",,,,,"0.00","0.0","0","74","38","40","16.8",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-27",,,,,"0.00","0.0","0","74","41","43","72.1",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-28",,,,,"0.00","0.0","0","62","30","32","24.2",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-29",,,,,"0.00","0.0","0","71","26","31","24.2",,,,
"USC00298535","LAS CRUCES, NM US","2000-01-30",,,,,"0.00","0.0","0","71","41","43","24.9",,,,
